pais_iso,pais,indicador_code,indicador,anio,valor
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1996,-2.49
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1995,-1.98
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1994,-4.26
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1993,-3.47
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1992,-2.42
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1991,-0.34
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1990,3.22
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1989,-1.7
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1988,-1.24
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1987,-3.89
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1986,-2.7
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1985,-1.08
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1984,-2.13
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1983,-2.34
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1982,-2.79
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1981,-5.99
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1980,-6.2
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1979,-0.74
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1978,2.08
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1977,1.98
ARG,Argentina,BN.CAB.XOKA.GD.ZS,Cuenta corriente (% PIB),1976,1.27
